series_animedb_id,Anime Title,Anime Type,Episode Count,Watched Episodes,My Start Date,My Finish Date,My Score,My Status,Tags
14829,Fate/kaleid liner Prisma?Illya,TV,10,10,23-04-2020,25-04-2020,6,Completed,
27525,Fate/kaleid liner Prisma?Illya 2wei Herz!,TV,10,10,18-05-2020,22-05-2020,6,Completed,
20509,Fate/kaleid liner Prisma?Illya 2wei!,TV,10,10,26-04-2020,29-04-2020,6,Completed,
31706,Fate/kaleid liner Prisma?Illya 3rei!!,TV,12,12,23-05-2020,27-05-2020,7,Completed,
34100,Fate/kaleid liner Prisma?Illya Movie: Sekka no Chikai,Movie,1,1,29-04-2021,29-04-2021,8,Completed,
356,Fate/stay night,TV,24,24,27-03-2020,01-04-2020,7,Completed,
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,1,29-10-2020,29-10-2020,8,Completed,
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,1,03-11-2020,03-11-2020,8,Completed,
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,1,07-04-2021,07-04-2021,9,Completed,
22297,Fate/stay night: Unlimited Blade Works,TV,12,12,08-05-2020,09-05-2020,8,Completed,
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,13,12-05-2020,15-05-2020,9,Completed,
55830,Fate/strange Fake,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
53127,Fate/strange Fake: Whispers of Dawn,TV Special,1,1,06-08-2023,06-08-2023,8,Completed,
10087,Fate/Zero,TV,13,13,14-04-2020,17-04-2020,9,Completed,
11741,Fate/Zero 2nd Season,TV,12,12,17-04-2020,18-04-2020,9,Completed,
9367,Freezing,TV,12,12,0000-00-00,0000-00-00,6,Completed,
18001,Freezing Vibration,TV,12,12,0000-00-00,0000-00-00,6,Completed,
38680,Fruits Basket 1st Season,TV,25,25,0000-00-00,22-09-2019,8,Completed,Another example of an anime that started out bland but eventually rose up
40417,Fruits Basket 2nd Season,TV,25,25,08-04-2020,23-09-2020,8,Completed,
49310,Fruits Basket: Prelude,Movie,1,1,05-08-2023,05-08-2023,8,Completed,
42938,Fruits Basket: The Final,TV,13,13,06-04-2021,29-06-2021,10,Completed,
41120,Fugou Keiji: Balance:Unlimited,TV,11,11,10-04-2020,26-09-2020,8,Completed,
5114,Fullmetal Alchemist: Brotherhood,TV,64,64,23-05-2022,17-07-2022,10,Completed,#7
6421,Fullmetal Alchemist: Brotherhood Specials,Special,4,4,21-07-2022,21-07-2022,8,Completed,
41025,Fumetsu no Anata e,TV,20,20,13-04-2021,01-09-2021,7,Completed,
49709,Fumetsu no Anata e Season 2,TV,20,20,23-10-2022,13-03-2023,7,Completed,
54703,Fumetsu no Anata e Season 3,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
57448,Fureru.,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
33731,Gabriel DropOut,TV,12,12,0000-00-00,0000-00-00,7,Completed,
48760,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV,12,12,08-04-2022,23-06-2022,7,Completed,
52481,Gimai Seikatsu,TV,12,12,04-07-2024,20-09-2024,7,Completed,"""Look! My emotional baggage!"" the anime, ""Walk on eggshells around me"" the anime."
918,Gintama,TV,201,201,07-02-2021,02-01-2022,9,Completed,
7472,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,1,16-11-2021,16-11-2021,9,Completed,
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,1,18-03-2022,18-03-2022,9,Completed,
9969,Gintama',TV,51,51,02-01-2022,27-02-2022,9,Completed,
15417,Gintama': Enchousen,TV,13,13,02-03-2022,08-03-2022,9,Completed,
34096,Gintama.,TV,12,12,18-04-2022,21-04-2022,9,Completed,
35843,Gintama.: Porori-hen,TV,13,13,25-04-2022,01-05-2022,8,Completed,
36838,Gintama.: Shirogane no Tamashii-hen,TV,12,12,01-05-2022,04-05-2022,8,Completed,
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,14,04-05-2022,08-05-2022,9,Completed,
39486,Gintama: The Final,Movie,1,1,09-05-2022,09-05-2022,10,Completed,
44087,Gintama: The Semi-Final,Special,2,2,08-05-2022,08-05-2022,8,Completed,
28977,Gintama°,TV,51,51,19-03-2022,15-04-2022,10,Completed,
32366,Gintama°: Aizome Kaori-hen,OVA,2,2,15-04-2022,16-04-2022,8,Completed,
37349,Goblin Slayer,TV,12,12,0000-00-00,0000-00-00,6,Completed,Am I going to watch the movie? Fuck no? Fuck no!
43692,Gokushufudou,ONA,5,1,08-04-2021,0000-00-00,4,Dropped,Congratulations J.C. Staff on hitting a new low on budget saving.
36028,Golden Kamuy,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,
37989,Golden Kamuy 2nd Season,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,
40059,Golden Kamuy 3rd Season,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,Download
50528,Golden Kamuy 4th Season,TV,13,0,0000-00-00,0000-00-00,0,Plan to Watch,
55772,Golden Kamuy: Saishuushou,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
37105,Grand Blue,TV,12,12,0000-00-00,0000-00-00,8,Completed,Damnit gimme S2
59986,Grand Blue Season 2,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
40052,Great Pretender,TV,23,23,07-07-2020,08-10-2020,9,Completed,An original anime that's actually good.
57184,Great Pretender: Razbliuto,ONA,4,0,0000-00-00,0000-00-00,0,Plan to Watch,
245,Great Teacher Onizuka,TV,43,43,09-10-2020,21-10-2020,10,Completed,#3
16,Hachimitsu to Clover,TV,24,0,0000-00-00,0000-00-00,0,Plan to Watch,
1142,Hachimitsu to Clover II,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,
20583,Haikyuu!!,TV,25,25,0000-00-00,0000-00-00,9,Completed,
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,10,0000-00-00,0000-00-00,10,Completed,
52742,Haikyuu!! Movie: Gomisuteba no Kessen,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
28891,Haikyuu!! Second Season,TV,25,25,0000-00-00,0000-00-00,9,Completed,
38883,Haikyuu!! To the Top,TV,13,13,14-01-2020,06-04-2020,9,Completed,"This season has shifted focus from the high intensity matches to a more calmer vibe where characters spend more time understanding their own flaws and developing down on their strengths, Hinata receives far more focus than previous seasons"
40776,Haikyuu!! To the Top Part 2,TV,12,12,05-10-2020,19-12-2020,9,Completed,
21855,Hanamonogatari,TV Special,5,5,0000-00-00,0000-00-00,8,Completed,
15809,Hataraku Maou-sama!,TV,13,13,0000-00-00,0000-00-00,7,Completed,
48413,Hataraku Maou-sama!!,TV,12,12,19-07-2022,30-09-2022,6,Completed,
53200,Hataraku Maou-sama!! 2nd Season,TV,12,12,13-07-2023,28-09-2023,7,Completed,
49738,Heike Monogatari,TV,11,6,30-09-2021,0000-00-00,5,Dropped,What was even going on anymore? The story jumps from one plot to another like a damn grasshopper. Why does everyone look the same? Why does everyone's name sound the same? Is the presence of Biwa even relevant to the story? The most incoherent storytellin
777,Hellsing Ultimate,OVA,10,0,0000-00-00,0000-00-00,0,Plan to Watch,
27989,Hibike! Euphonium,TV,13,13,02-10-2023,09-10-2023,7,Completed,
31988,Hibike! Euphonium 2,TV,13,13,12-10-2023,20-10-2023,7,Completed,
39894,Hibike! Euphonium 3,TV,13,13,08-04-2024,01-07-2024,6,Completed,
35678,Hibike! Euphonium Movie 3: Chikai no Finale,Movie,1,1,15-11-2023,15-11-2023,6,Completed,
51995,Hibike! Euphonium: Ensemble Contest-hen,Movie,1,1,27-11-2023,27-11-2023,7,Completed,
31665,Hibike! Euphonium: Kakedasu Monaka,Special,1,1,09-10-2023,09-10-2023,7,Completed,
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,TV,13,6,06-04-2021,0000-00-00,4,Dropped,"Came for pure wholesome content, not for wholesome content involving a sex offender."
11617,High School DxD,TV,12,12,0000-00-00,0000-00-00,7,Completed,
24703,High School DxD BorN,TV,12,12,0000-00-00,0000-00-00,7,Completed,
34281,High School DxD Hero,TV,12,12,0000-00-00,0000-00-00,6,Completed,
15451,High School DxD New,TV,12,12,0000-00-00,0000-00-00,7,Completed,
8074,Highschool of the Dead,TV,12,12,0000-00-00,0000-00-00,8,Completed,
36296,Hinamatsuri,TV,12,12,0000-00-00,0000-00-00,9,Completed,"Super wholesome and just beautiful, no announcement of season 2 yet"
39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,14,14,17-01-2020,21-01-2020,8,Completed,
57466,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo,Unknown,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,TV,12,12,06-04-2020,24-06-2020,8,Completed,
